GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final,com.se300.store.model,CommandException,0,30,0,0,0,13,0,7,0,7
final,com.se300.store.model,Temperature,0,33,0,0,0,6,0,1,0,1
final,com.se300.store.model,Customer,0,118,0,0,0,39,0,22,0,22
final,com.se300.store.model,User,0,36,0,0,0,16,0,8,0,8
final,com.se300.store.model,Aisle,6,113,1,3,1,31,1,15,0,14
final,com.se300.store.model,AisleLocation,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,Inventory,3,98,0,4,1,30,1,16,1,14
final,com.se300.store.model,CommandProcessor,0,818,0,60,0,108,0,33,0,3
final,com.se300.store.model,CustomerAgeGroup,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,CustomerType,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,ApplianceType,0,21,0,0,0,4,0,1,0,1
final,com.se300.store.model,Device,0,54,0,0,0,19,0,10,0,10
final,com.se300.store.model,SensorType,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,Appliance,0,17,0,0,0,6,0,3,0,3
final,com.se300.store.model,InventoryType,0,15,0,0,0,3,0,1,0,1
final,com.se300.store.model,Sensor,0,12,0,0,0,4,0,2,0,2
final,com.se300.store.model,InventoryLocation,0,21,0,0,0,8,0,4,0,4
final,com.se300.store.model,Store,6,192,1,13,1,43,1,22,0,16
final,com.se300.store.model,Shelf,6,114,2,4,1,31,2,15,0,14
final,com.se300.store.model,Basket,0,416,4,36,0,89,4,34,0,18
final,com.se300.store.model,ShelfLevel,0,21,0,0,0,4,0,1,0,1
final,com.se300.store.model,StoreException,0,26,0,0,0,11,0,6,0,6
final,com.se300.store.model,Product,0,90,0,0,0,31,0,16,0,16
final,com.se300.store.model,StoreLocation,0,29,0,0,0,11,0,6,0,6
final,com.se300.store,SmartStoreApplication,23,187,1,5,10,52,3,8,2,6
final,com.se300.store.service,StoreService,36,947,10,114,6,234,10,87,0,35
final,com.se300.store.service,AuthenticationService,2,78,2,6,1,22,2,9,0,7
final,com.se300.store.servlet,JsonHelper,3,55,0,0,1,15,1,8,1,8
final,com.se300.store.servlet,BaseServlet.ErrorResponse,0,21,0,0,0,8,0,4,0,4
final,com.se300.store.servlet,BaseServlet,1,98,1,7,0,28,1,9,0,6
final,com.se300.store.repository,StoreRepository,0,85,0,4,0,23,0,9,0,7
final,com.se300.store.repository,UserRepository,0,107,0,4,0,26,0,9,0,7
final,com.se300.store.controller,StoreController,0,212,5,17,0,63,5,11,0,5
final,com.se300.store.controller,UserController,0,218,5,25,0,64,5,15,0,5
final,com.se300.store.data,DataManager,5,54,1,3,1,17,2,9,1,8
